round,id,nest.id,repeat,treatment,eggs,nestlings,hatchingsuccess,fledglings,fledgingsuccess,fledged at least one,Failure Stage ,intensityincludingeclosed,intensity,notes,hatch date,failure date,renest date,time to renest,nesting length,hatchdate,rain,ndvi,ndvi date,difference,day of season
1,91,91.1,1,P,3,3,1,1,0.333333333,1,0,4,4,,10-Mar-15,25-Mar-15,4/25/15,31,15,3/11/15,67.3,0.488053333,3/6/15,5,6
1,137,137.1,1,P,4,4,1,2,0.5,1,0,27,0,all eclosed ,10-Mar-15,25-Mar-15,4/21/15,27,15,3/11/15,67.3,0.488053333,3/6/15,5,6
1,109,109.1,1,W,3,3,1,0,0,0,2,59,59,,10-Mar-15,16-Mar-15,4/13/15,28,6,3/11/15,67.3,0.488053333,3/6/15,5,6
1,95,95.1,1,P,3,1,0.333333333,1,1,1,0,1,1,,11-Mar-15,26-Mar-15,4/22/15,27,15,3/12/15,67.3,0.488053333,3/6/15,6,7
1,35,35.1,1,W,2,2,1,0,0,0,3,53,53,,11-Mar-15,22-Mar-15,4/19/15,28,11,3/12/15,67.3,0.488053333,3/6/15,6,7
1,24,24.1,1,P,3,3,1,2,0.666666667,1,0,72,0,all eclosed ,13-Mar-15,28-Mar-15,4/22/15,25,15,3/14/15,67.3,0.488053333,3/6/15,8,9
1,103,103.1,1,P,4,3,0.75,0,0,0,2,2,2,,13-Mar-15,19-Mar-15,4/15/15,27,6,3/14/15,67.3,0.488053333,3/6/15,8,9
1,53,53.1,1,W,3,2,0.666666667,0,0,0,3,25,25,,13-Mar-15,24-Mar-15,5/2/15,39,11,3/14/15,67.3,0.488053333,3/6/15,8,9
1,108,108.1,1,W,4,4,1,0,0,0,2,43,43,,13-Mar-15,19-Mar-15,4/12/15,24,6,3/14/15,67.3,0.488053333,3/6/15,8,9
1,115,115.1,1,W,3,3,1,0,0,0,2,90,90,,14-Mar-15,20-Mar-15,4/10/15,21,6,3/15/15,67.3,0.488053333,3/6/15,9,10
1,117,117.1,1,P,3,2,0.666666667,0,0,0,1,0,0,,16-Mar-15,18-Mar-15,4/16/15,29,2,3/17/15,69.8,0.561963793,3/25/15,-8,12
1,131,131.1,1,W,4,3,0.75,1,0.333333333,1,0,157,157,,8-Mar-15,24-Mar-15,4/12/15,19,16,3/5/15,67.3,0.561963793,3/13/15,-8,0
2,24,24.2,1,P,3,3,1,1,0.333333333,1,0,1,0,eclosed,,,,,,4/23/15,201.8,0.605074359,4/23/15,0,49
2,95,95.2,1,P,4,4,1,4,1,1,0,4,0,"eclosed, 4 ant pupae",,,,,,4/23/15,201.8,0.605074359,4/23/15,0,49
2,91,91.2,1,P,5,5,1,5,1,1,0,4,2,"all eclosed, 2 wrinkly pupae",,,,,,4/26/15,204,0.605074359,4/23/15,3,52
2,115,115.2,1,W,4,2,0.5,0,0,0,2,88,59,"Collected on day 10-11, 29 eclosed/2 adults ",,,,,,4/11/15,148.1,0.689067857,4/7/15,4,37
2,138,138.2,1,P,5,5,1,5,1,1,0,0,0,,,,,,,4/28/15,204,0.605074359,4/23/15,5,54
2,108,108.2,1,W,4,4,1,2,0.5,1,0,134,126,8 eclosed,,,,,,4/13/15,148.8,0.689067857,4/7/15,6,39
2,131,131.2,1,W,4,3,0.75,2,0.666666667,1,0,67,53,14E,,,,,,4/13/15,148.8,0.689067857,4/7/15,6,39
2,109,109.2,1,W,4,2,0.5,0,0,0,2,121,94,"Collected on day 12-13, 27 eclosed",,,,,,4/14/15,153.4,0.689067857,4/7/15,7,40
2,2,2.2,1,P,5,5,1,5,1,1,0,0,0,1 ant pupa,,,,,,4/16/15,168.9,0.689067857,4/7/15,9,42
2,103,103.2,1,P,4,4,1,4,1,1,0,1,0,eclosed, ,,,,,4/16/15,168.9,0.689067857,4/7/15,9,42
2,117,117.2,1,P,5,5,1,3,0.6,1,0,0,0, ,,,,,,4/17/15,168.9,0.561963793,4/25/15,-8,43
2,53,53.2,1,W,5,2,0.4,0,0,0,1,7,2,"5 eclosed, failed before 5/6, maybe eaten by anis",,,,,,5/3/15,245.8,0.561963793,5/11/15,-8,59
2,35,35.2,1,W,4,4,1,2,0.5,1,0,54,54,,,,,,,4/20/15,178.2,0.561963793,4/28/15,-8,46
2,98,98.2,1,W,3,3,3,0,0,0,2,46,42,3 eclosed,,,,,,4/21/15,179.4,0.561963793,4/29/15,-8,47
2,52,52.2,1,P,4,4,1,4,1,1,0,0,0,,,,,,,4/22/15,201.8,0.561963793,4/30/15,-8,48
2,74,74.2,1,P,5,3,0.6,3,1,1,0,6,0,all eclosed,,,,,,4/22/15,201.8,0.561963793,4/30/15,-8,48
2,137,137.2,1,P,4,3,0.75,3,1,1,0,2,2,eclosed,,,,,,4/22/15,201.8,0.561963793,4/30/15,-8,48
2,25,25.2,1,P,5,5,1,,,,,,,,,,,,,,,,,,
2,42,42.2,1,W,3,3,0,,,,,,,,,,,,,,,,,,
